#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
NW_026260786.1       -         CD_10                -         hmm        6      111  1019598  1019490      -     -    6 0.51   0.0   27.7   0.00011 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_5, whole genome shotgun sequence
NW_026260785.1       -         CD_19                -         hmm        7       92  1334878  1334785      -     -    6 0.47   0.0   35.8   4.5e-07 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_4, whole genome shotgun sequence
NW_026260785.1       -         CD_19                -         hmm        6       93  1295711  1295637      -     -    6 0.40   0.0   17.3      0.26 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_4, whole genome shotgun sequence
NW_026260842.1       -         CD_19                -         hmm       17       93   199130   199069      -     -    6 0.32   0.2   16.1       0.6 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_61, whole genome shotgun sequence
NW_026260803.1       -         CD_19                -         hmm       29       91   573928   573986      +     -    6 0.31   0.1   15.7      0.82 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_22, whole genome shotgun sequence
NW_026260796.1       -         CD_19                -         hmm       11       88   301764   301696      -     -    6 0.36   0.1   15.3       1.1 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_15, whole genome shotgun sequence
NW_026261059.1       -         CD_19                -         hmm       23       88    15012    14954      -     -    6 0.37   0.1   14.6       1.9 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_278, whole genome shotgun sequence
NW_026260791.1       -         CD_19                -         hmm       34       91   260457   260510      +     -    6 0.28   0.1   14.3       2.2 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_10, whole genome shotgun sequence
NW_026260820.1       -         CD_19                -         hmm       24       88    38097    38040      -     -    6 0.38   0.1   13.9       2.9 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_39, whole genome shotgun sequence
NW_026260893.1       -         CD_19                -         hmm       11       88    41897    41829      -     -    6 0.35   0.2   13.7       3.4 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_112, whole genome shotgun sequence
NW_026260813.1       -         CD_19                -         hmm       24       80   277022   276963      -     -    6 0.42   0.0   13.6       3.7 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_32, whole genome shotgun sequence
NW_026260840.1       -         CD_19                -         hmm        5       92    72896    72802      -     -    6 0.42   0.0   13.2       4.8 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_59, whole genome shotgun sequence
NW_026260816.1       -         CD_19                -         hmm       21       88    48151    48218      +     -    6 0.35   0.3   13.2       4.9 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_35, whole genome shotgun sequence
NW_026260834.1       -         CD_19                -         hmm        6       60   220701   220755      +     -    6 0.44   0.0   13.2       5.1 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_53, whole genome shotgun sequence
NW_026260782.1       -         CD_19                -         hmm       34       90  1671415  1671359      -     -    6 0.37   0.0   13.2       5.1 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_1, whole genome shotgun sequence
NW_026260794.1       -         CD_19                -         hmm        5       60   215486   215429      -     -    6 0.48   0.0   12.4       8.9 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_13, whole genome shotgun sequence
NW_026261010.1       -         CD_19                -         hmm        5       60      835      778      -     -    6 0.48   0.0   12.4       8.9 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_229, whole genome shotgun sequence
NW_026260838.1       -         CD_1                 -         hmm       10      110   207185   207288      +     -    6 0.42   0.0   15.6      0.58 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_57, whole genome shotgun sequence
NW_026260809.1       -         CD_1                 -         hmm       51      115   211821   211767      -     -    6 0.49   0.0   14.9      0.96 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_28, whole genome shotgun sequence
NW_026260831.1       -         CD_1                 -         hmm       15       88   120859   120937      +     -    6 0.41   0.1   13.9       2.1 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_50, whole genome shotgun sequence
NW_026260787.1       -         CD_1                 -         hmm       19       41   335740   335718      -     -    6 0.52   0.0   13.2       3.3 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_6, whole genome shotgun sequence
NW_026260810.1       -         CD_1                 -         hmm       78      130   409162   409219      +     -    6 0.40   0.0   13.2       3.4 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_29, whole genome shotgun sequence
NW_026260786.1       -         CD_1                 -         hmm        6      108   877741   877660      -     -    6 0.49   0.0   13.1       3.6 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_5, whole genome shotgun sequence
NW_026260796.1       -         CD_1                 -         hmm       53      124    59499    59426      -     -    6 0.36   0.0   13.1       3.7 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_15, whole genome shotgun sequence
NW_026260816.1       -         CD_1                 -         hmm       78      130   309371   309314      -     -    6 0.40   0.0   13.0       3.9 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_35, whole genome shotgun sequence
NW_026260783.1       -         CD_1                 -         hmm       79      124   367584   367629      +     -    6 0.39   0.1   13.0         4 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_2, whole genome shotgun sequence
NW_026260789.1       -         CD_1                 -         hmm       79      117   927207   927246      +     -    6 0.32   0.0   12.6         5 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_8, whole genome shotgun sequence
NW_026260865.1       -         CD_1                 -         hmm       79      117    89606    89645      +     -    6 0.32   0.0   12.6         5 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_84, whole genome shotgun sequence
NW_026260893.1       -         CD_1                 -         hmm       24      110    18214    18309      +     -    6 0.42   0.0   12.6       5.3 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_112, whole genome shotgun sequence
NW_026260859.1       -         CD_20                -         hmm       25       91    66696    66639      -     -    6 0.38   0.0   25.1   0.00093 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_78, whole genome shotgun sequence
NW_026261265.1       -         CD_20                -         hmm       25       91    10471    10414      -     -    6 0.38   0.0   25.1   0.00093 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_484, whole genome shotgun sequence
NW_026260912.1       -         CD_20                -         hmm       24       91     1951     1893      -     -    6 0.34   0.0   25.0     0.001 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_131, whole genome shotgun sequence
NW_026260840.1       -         CD_20                -         hmm       52       91    68213    68252      +     -    6 0.38   0.0   23.0    0.0044 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_59, whole genome shotgun sequence
NW_026260786.1       -         CD_20                -         hmm       12       75   914707   914644      -     -    6 0.38   0.0   15.1       1.2 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_5, whole genome shotgun sequence
NW_026260848.1       -         CD_20                -         hmm       32       87   128593   128642      +     -    6 0.42   0.0   15.0       1.3 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_67, whole genome shotgun sequence
NW_026260824.1       -         CD_20                -         hmm        3       84   265300   265223      -     -    6 0.46   0.0   14.7       1.7 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_43, whole genome shotgun sequence
NW_026260801.1       -         CD_20                -         hmm        3       58    48830    48884      +     -    6 0.40   0.0   14.6       1.8 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_20, whole genome shotgun sequence
NW_026260801.1       -         CD_20                -         hmm        3       58    17490    17436      -     -    6 0.40   0.0   13.9         3 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_20, whole genome shotgun sequence
NW_026260797.1       -         CD_20                -         hmm       12       67   170440   170387      -     -    6 0.39   0.0   13.6       3.6 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_16, whole genome shotgun sequence
NW_026260831.1       -         CD_20                -         hmm       13       94   207526   207608      +     -    6 0.43   0.0   13.2       4.8 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_50, whole genome shotgun sequence
NW_026260817.1       -         CD_20                -         hmm       49       89    11729    11773      +     -    6 0.51   0.0   13.1       5.1 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_36, whole genome shotgun sequence
NW_026260849.1       -         CD_20                -         hmm       49       89   134722   134678      -     -    6 0.51   0.0   13.1       5.1 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_68, whole genome shotgun sequence
NW_026260926.1       -         CD_20                -         hmm       49       89     5315     5359      +     -    6 0.51   0.0   13.1       5.1 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_145, whole genome shotgun sequence
NW_026261097.1       -         CD_20                -         hmm       49       89    11744    11788      +     -    6 0.51   0.0   13.1       5.1 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_316, whole genome shotgun sequence
NW_026260891.1       -         CD_20                -         hmm        5       89    39545    39447      -     -    6 0.34   0.1   12.2       9.9 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_110, whole genome shotgun sequence
NW_026260804.1       -         CD_21                -         hmm       25       83   277089   277036      -     -    6 0.37   0.0   25.8   0.00035 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_23, whole genome shotgun sequence
NW_026261109.1       -         CD_21                -         hmm       25       83    20105    20052      -     -    6 0.37   0.0   25.8   0.00035 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_328, whole genome shotgun sequence
NW_026260842.1       -         CD_21                -         hmm       13       45    37218    37186      -     -    6 0.33   0.0   15.7      0.49 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_61, whole genome shotgun sequence
NW_026260782.1       -         CD_21                -         hmm        8       65   361431   361363      -     -    6 0.49   0.0   15.5      0.55 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_1, whole genome shotgun sequence
NW_026260788.1       -         CD_21                -         hmm       24       62   863170   863207      +     -    6 0.47   0.0   15.5      0.56 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_7, whole genome shotgun sequence
NW_026260786.1       -         CD_21                -         hmm       22       82   320223   320281      +     -    6 0.32   0.0   15.2      0.71 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_5, whole genome shotgun sequence
NW_026260841.1       -         CD_21                -         hmm        7       49     8323     8370      +     -    6 0.29   0.7   14.9      0.88 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_60, whole genome shotgun sequence
NW_026260792.1       -         CD_21                -         hmm        8       40    24573    24541      -     -    6 0.39   0.0   14.2       1.5 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_11, whole genome shotgun sequence
NW_026260871.1       -         CD_21                -         hmm       21       45    68471    68446      -     -    6 0.38   0.0   13.8       1.9 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_90, whole genome shotgun sequence
NW_026260809.1       -         CD_21                -         hmm       23       83     5094     5151      +     -    6 0.33   0.0   13.6       2.2 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_28, whole genome shotgun sequence
NW_026260973.1       -         CD_21                -         hmm       20       64    19548    19593      +     -    6 0.35   0.0   13.6       2.2 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_192, whole genome shotgun sequence
NW_026260799.1       -         CD_21                -         hmm        7       64   647706   647630      -     -    6 0.34   0.9   13.5       2.4 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_18, whole genome shotgun sequence
NW_026260849.1       -         CD_21                -         hmm       31       60   108349   108313      -     -    6 0.35   0.0   13.3       2.7 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_68, whole genome shotgun sequence
NW_026260801.1       -         CD_21                -         hmm       38       67   587308   587336      +     -    6 0.38   0.0   12.9       3.7 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_20, whole genome shotgun sequence
NW_026260783.1       -         CD_21                -         hmm        8       63   449095   449149      +     -    6 0.47   0.0   12.8       3.9 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_2, whole genome shotgun sequence
NW_026261144.1       -         CD_21                -         hmm        8       63     9943     9997      +     -    6 0.47   0.0   12.8       3.9 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_363, whole genome shotgun sequence
NW_026260821.1       -         CD_21                -         hmm       29       82   179152   179206      +     -    6 0.40   0.0   12.6       4.4 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_40, whole genome shotgun sequence
NW_026260821.1       -         CD_21                -         hmm       29       82   181996   181942      -     -    6 0.40   0.0   12.6       4.4 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_40, whole genome shotgun sequence
NW_026260784.1       -         CD_21                -         hmm       18       53  1269458  1269419      -     -    6 0.35   0.0   12.4       5.3 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_3, whole genome shotgun sequence
NW_026260806.1       -         CD_21                -         hmm        6       36   210021   210052      +     -    6 0.22   0.1   12.1       6.4 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_25, whole genome shotgun sequence
NW_026260893.1       -         CD_21                -         hmm        6       36    15218    15249      +     -    6 0.22   0.1   12.1       6.4 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_112, whole genome shotgun sequence
NW_026260834.1       -         CD_21                -         hmm       21       64    53978    53935      -     -    6 0.39   0.0   11.5       9.8 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_53, whole genome shotgun sequence
NW_026261084.1       -         CD_22                -         hmm        8       83    17195    17274      +     -    6 0.35   0.2   21.5    0.0084 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_303, whole genome shotgun sequence
NW_026260786.1       -         CD_22                -         hmm        8       83   138152   138232      +     -    6 0.35   0.2   21.3      0.01 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_5, whole genome shotgun sequence
NW_026260863.1       -         CD_22                -         hmm       27       63    79612    79653      +     -    6 0.36   0.0   13.5       2.7 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_82, whole genome shotgun sequence
NW_026260950.1       -         CD_22                -         hmm       27       63    22330    22371      +     -    6 0.36   0.0   13.2       3.2 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_169, whole genome shotgun sequence
NW_026260814.1       -         CD_22                -         hmm       27       69   406506   406463      -     -    6 0.36   0.0   13.2       3.4 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_33, whole genome shotgun sequence
NW_026260927.1       -         CD_22                -         hmm       35       74    16431    16475      +     -    6 0.36   0.0   13.0       3.8 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_146, whole genome shotgun sequence
NW_026260923.1       -         CD_22                -         hmm       15       64    39899    39843      -     -    6 0.26   0.2   12.7       4.6 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_142, whole genome shotgun sequence
NW_026260816.1       -         CD_22                -         hmm       23       65   188060   188016      -     -    6 0.36   0.1   12.5       5.4 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_35, whole genome shotgun sequence
NW_026260791.1       -         CD_22                -         hmm       15       52   342750   342795      +     -    6 0.33   0.1   12.5       5.6 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_10, whole genome shotgun sequence
NW_026260885.1       -         CD_22                -         hmm       15       52    61658    61703      +     -    6 0.33   0.1   12.5       5.6 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_104, whole genome shotgun sequence
NW_026260817.1       -         CD_22                -         hmm       23       65   234638   234597      -     -    6 0.36   0.1   12.4       5.8 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_36, whole genome shotgun sequence
NW_026260789.1       -         CD_22                -         hmm       22       65   182245   182203      -     -    6 0.35   0.0   12.3       6.4 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_8, whole genome shotgun sequence
NW_026260819.1       -         CD_22                -         hmm       23       65   174103   174062      -     -    6 0.36   0.0   12.1         7 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_38, whole genome shotgun sequence
NW_026260912.1       -         CD_22                -         hmm       22       64    38120    38079      -     -    6 0.36   0.0   12.1       7.3 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_131, whole genome shotgun sequence
NW_026260785.1       -         CD_22                -         hmm       22       64  1789166  1789207      +     -    6 0.36   0.0   11.9       8.1 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_4, whole genome shotgun sequence
NW_026261187.1       -         CD_22                -         hmm       23       65     1999     1958      -     -    6 0.36   0.0   11.9       8.4 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_406, whole genome shotgun sequence
NW_026260789.1       -         CD_22                -         hmm       23       65   698008   698049      +     -    6 0.36   0.0   11.9       8.5 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_8, whole genome shotgun sequence
NW_026261075.1       -         CD_22                -         hmm       37       81     4759     4823      +     -    6 0.26   0.3   11.8       8.7 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_294, whole genome shotgun sequence
NW_026260807.1       -         CD_23                -         hmm        7       81    44662    44585      -     -    6 0.37   0.2   44.1   4.6e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_26, whole genome shotgun sequence
NW_026260803.1       -         CD_23                -         hmm        9       79   335871   335939      +     -    6 0.39   0.0   28.9   2.6e-05 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_22, whole genome shotgun sequence
NW_026260866.1       -         CD_23                -         hmm       14       75    46376    46315      -     -    6 0.35   0.1   15.6      0.37 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_85, whole genome shotgun sequence
NW_026260784.1       -         CD_23                -         hmm       12       61  1162725  1162675      -     -    6 0.33   0.1   14.2         1 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_3, whole genome shotgun sequence
NW_026260834.1       -         CD_23                -         hmm       12       60   238026   237977      -     -    6 0.38   0.2   13.3       1.9 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_53, whole genome shotgun sequence
NW_026260799.1       -         CD_23                -         hmm       12       60   370732   370781      +     -    6 0.36   0.2   13.2         2 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_18, whole genome shotgun sequence
NW_026260899.1       -         CD_23                -         hmm       12       60    12875    12924      +     -    6 0.36   0.1   13.1       2.1 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_118, whole genome shotgun sequence
NW_026260800.1       -         CD_23                -         hmm       12       60   291678   291629      -     -    6 0.36   0.1   13.1       2.1 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_19, whole genome shotgun sequence
NW_026260792.1       -         CD_23                -         hmm       12       60   184119   184168      +     -    6 0.36   0.1   13.1       2.2 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_11, whole genome shotgun sequence
NW_026260808.1       -         CD_23                -         hmm       12       60   132060   132011      -     -    6 0.36   0.1   13.1       2.2 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_27, whole genome shotgun sequence
NW_026260798.1       -         CD_23                -         hmm       12       60    55522    55571      +     -    6 0.36   0.1   13.0       2.3 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_17, whole genome shotgun sequence
NW_026260788.1       -         CD_23                -         hmm       23       50   316361   316327      -     -    6 0.43   0.0   13.0       2.4 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_7, whole genome shotgun sequence
NW_026260913.1       -         CD_23                -         hmm       12       60    28873    28824      -     -    6 0.36   0.1   13.0       2.4 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_132, whole genome shotgun sequence
NW_026260835.1       -         CD_23                -         hmm       12       60   166724   166773      +     -    6 0.34   0.3   12.9       2.5 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_54, whole genome shotgun sequence
NW_026260788.1       -         CD_23                -         hmm       34       62  1237334  1237312      -     -    6 0.39   0.0   12.9       2.6 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_7, whole genome shotgun sequence
NW_026260799.1       -         CD_23                -         hmm       12       60    20580    20531      -     -    6 0.36   0.2   12.8       2.7 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_18, whole genome shotgun sequence
NW_026260837.1       -         CD_23                -         hmm       12       60   141966   142015      +     -    6 0.36   0.2   12.8       2.7 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_56, whole genome shotgun sequence
NW_026260828.1       -         CD_23                -         hmm       12       60    75291    75340      +     -    6 0.36   0.0   12.7         3 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_47, whole genome shotgun sequence
NW_026260791.1       -         CD_23                -         hmm       12       60  1187808  1187759      -     -    6 0.36   0.1   12.5       3.4 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_10, whole genome shotgun sequence
NW_026260790.1       -         CD_23                -         hmm       24       78   888184   888109      -     -    6 0.34   0.1   11.3       8.1 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_9, whole genome shotgun sequence
NW_026261068.1       -         CD_24                -         hmm       33       88    10660    10741      +     -    6 0.40   0.1   17.1       0.2 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_287, whole genome shotgun sequence
NW_026260820.1       -         CD_24                -         hmm       33       88   357993   358074      +     -    6 0.39   0.1   16.8      0.25 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_39, whole genome shotgun sequence
NW_026260784.1       -         CD_24                -         hmm        8       86   861205   861292      +     -    6 0.43   0.0   14.9      0.96 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_3, whole genome shotgun sequence
NW_026260795.1       -         CD_24                -         hmm       13       70   511460   511515      +     -    6 0.39   0.0   14.0       1.9 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_14, whole genome shotgun sequence
NW_026260807.1       -         CD_24                -         hmm       35       69   281226   281190      -     -    6 0.35   0.0   13.6       2.4 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_26, whole genome shotgun sequence
NW_026260802.1       -         CD_24                -         hmm       50       92   362088   362134      +     -    6 0.43   0.0   13.5       2.6 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_21, whole genome shotgun sequence
NW_026260793.1       -         CD_24                -         hmm       58       90   327476   327443      -     -    6 0.35   0.0   13.4         3 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_12, whole genome shotgun sequence
NW_026260923.1       -         CD_24                -         hmm       58       90    29111    29078      -     -    6 0.35   0.0   13.4         3 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_142, whole genome shotgun sequence
NW_026260783.1       -         CD_24                -         hmm       33       78  2019239  2019283      +     -    6 0.47   0.0   13.2       3.4 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_2, whole genome shotgun sequence
NW_026260790.1       -         CD_24                -         hmm       13       70   951208   951262      +     -    6 0.38   0.0   12.7       4.6 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_9, whole genome shotgun sequence
NW_026260811.1       -         CD_24                -         hmm       36       68   320022   320056      +     -    6 0.40   0.0   12.7       4.9 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_30, whole genome shotgun sequence
NW_026260796.1       -         CD_24                -         hmm        8       59   521027   521082      +     -    6 0.34   0.0   12.6       5.1 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_15, whole genome shotgun sequence
NW_026261261.1       -         CD_24                -         hmm       25       81    10999    10943      -     -    6 0.35   0.1   12.5       5.3 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_480, whole genome shotgun sequence
NW_026260831.1       -         CD_24                -         hmm        7       69   109052   108993      -     -    6 0.47   0.0   12.2       6.9 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_50, whole genome shotgun sequence
NW_026260937.1       -         CD_24                -         hmm       13       70    18047    17993      -     -    6 0.40   0.0   12.0       7.6 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_156, whole genome shotgun sequence
NW_026260838.1       -         CD_25                -         hmm       35       74   202714   202752      +     -    6 0.59   0.0   20.9     0.012 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_57, whole genome shotgun sequence
NW_026260793.1       -         CD_25                -         hmm       42       92   430054   430004      -     -    6 0.39   0.0   15.3      0.63 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_12, whole genome shotgun sequence
NW_026260844.1       -         CD_25                -         hmm       42       92   130987   131037      +     -    6 0.39   0.0   15.3      0.63 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_63, whole genome shotgun sequence
NW_026260782.1       -         CD_25                -         hmm       11       90  1523725  1523651      -     -    6 0.44   0.0   14.9      0.85 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_1, whole genome shotgun sequence
NW_026260881.1       -         CD_25                -         hmm       11       82    45261    45192      -     -    6 0.41   0.0   14.8      0.92 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_100, whole genome shotgun sequence
NW_026261067.1       -         CD_25                -         hmm       11       82     1433     1502      +     -    6 0.41   0.0   14.8      0.94 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_286, whole genome shotgun sequence
NW_026260805.1       -         CD_25                -         hmm       44       90   253493   253445      -     -    6 0.47   0.0   14.3       1.4 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_24, whole genome shotgun sequence
NW_026260785.1       -         CD_25                -         hmm       17       73   758282   758230      -     -    6 0.45   0.0   14.2       1.4 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_4, whole genome shotgun sequence
NW_026260845.1       -         CD_25                -         hmm        7       72   103316   103238      -     -    6 0.48   0.0   14.2       1.5 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_64, whole genome shotgun sequence
NW_026260850.1       -         CD_25                -         hmm       11       81    73008    72940      -     -    6 0.39   0.0   14.1       1.5 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_69, whole genome shotgun sequence
NW_026260782.1       -         CD_25                -         hmm       10       81  1305676  1305745      +     -    6 0.40   0.0   14.1       1.5 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_1, whole genome shotgun sequence
NW_026260788.1       -         CD_25                -         hmm       11       90  1124768  1124842      +     -    6 0.45   0.0   14.0       1.6 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_7, whole genome shotgun sequence
NW_026260937.1       -         CD_25                -         hmm       11       81    14016    14084      +     -    6 0.42   0.0   13.9       1.7 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_156, whole genome shotgun sequence
