#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
NW_026260788.1       -         tRNA                 RF00005    cm        1       71  1018870  1018941      +    no    1 0.60   0.0   66.2   4.3e-13 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_7, whole genome shotgun sequence
NW_026260938.1       -         tRNA                 RF00005    cm        1       71    15978    15906      -    no    1 0.59   0.0   53.2   1.8e-09 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_157, whole genome shotgun sequence
NW_026260938.1       -         tRNA                 RF00005    cm        1       71    16444    16372      -    no    1 0.59   0.0   53.2   1.8e-09 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_157, whole genome shotgun sequence
NW_026260938.1       -         tRNA                 RF00005    cm        1       71    23290    23362      +    no    1 0.59   0.0   53.2   1.8e-09 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_157, whole genome shotgun sequence
NW_026260782.1       -         tRNA                 RF00005    cm        1       71   837525   837607      +    no    1 0.55   0.0   53.2   1.8e-09 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_1, whole genome shotgun sequence
NW_026260879.1       -         tRNA                 RF00005    cm        1       71    32609    32710      +    no    1 0.53   0.0   53.1   1.9e-09 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_98, whole genome shotgun sequence
NW_026260785.1       -         tRNA                 RF00005    cm        1       71   550910   550992      +    no    1 0.51   0.0   53.1     2e-09 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_4, whole genome shotgun sequence
NW_026260821.1       -         tRNA                 RF00005    cm        1       71    17963    18041      +    no    1 0.49   0.0   52.6   2.6e-09 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_40, whole genome shotgun sequence
NW_026260786.1       -         tRNA                 RF00005    cm        1       71   934714   934642      -    no    1 0.56   0.0   52.4     3e-09 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_5, whole genome shotgun sequence
NW_026260790.1       -         tRNA                 RF00005    cm        1       71   106160   106088      -    no    1 0.56   0.0   52.4     3e-09 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_9, whole genome shotgun sequence
NW_026260792.1       -         tRNA                 RF00005    cm        1       71     6613     6541      -    no    1 0.56   0.0   52.4     3e-09 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_11, whole genome shotgun sequence
NW_026260792.1       -         tRNA                 RF00005    cm        1       71     7079     7007      -    no    1 0.56   0.0   52.4     3e-09 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_11, whole genome shotgun sequence
NW_026260799.1       -         tRNA                 RF00005    cm        1       71   517756   517684      -    no    1 0.56   0.0   52.4     3e-09 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_18, whole genome shotgun sequence
NW_026260910.1       -         tRNA                 RF00005    cm        1       71    25125    25053      -    no    1 0.56   0.0   52.4     3e-09 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_129, whole genome shotgun sequence
NW_026260921.1       -         tRNA                 RF00005    cm        1       71    10882    10810      -    no    1 0.56   0.0   52.4     3e-09 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_140, whole genome shotgun sequence
NW_026260783.1       -         tRNA                 RF00005    cm        1       71  2114235  2114314      +    no    1 0.54   0.0   52.4     3e-09 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_2, whole genome shotgun sequence
NW_026260829.1       -         tRNA                 RF00005    cm        1       71    47649    47729      +    no    1 0.52   0.0   52.3   3.2e-09 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_48, whole genome shotgun sequence
NW_026260991.1       -         tRNA                 RF00005    cm        1       71     3369     3449      +    no    1 0.52   0.0   52.3   3.2e-09 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_210, whole genome shotgun sequence
NW_026260783.1       -         tRNA                 RF00005    cm        1       71  1235683  1235756      +    no    1 0.57   0.0   52.3   3.2e-09 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_2, whole genome shotgun sequence
NW_026260807.1       -         tRNA                 RF00005    cm        1       71   511485   511413      -    no    1 0.56   0.0   52.3   3.3e-09 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_26, whole genome shotgun sequence
NW_026260783.1       -         tRNA                 RF00005    cm        1       71  2121792  2121865      +    no    1 0.54   0.0   52.2   3.4e-09 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_2, whole genome shotgun sequence
NW_026260797.1       -         tRNA                 RF00005    cm        1       71    54024    54107      +    no    1 0.60   0.0   52.2   3.4e-09 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_16, whole genome shotgun sequence
NW_026260785.1       -         tRNA                 RF00005    cm        1       71    73976    73904      -    no    1 0.56   0.0   52.2   3.4e-09 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_4, whole genome shotgun sequence
NW_026260782.1       -         tRNA                 RF00005    cm        1       71  2318235  2318318      +    no    1 0.58   0.0   52.2   3.4e-09 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_1, whole genome shotgun sequence
NW_026260797.1       -         tRNA                 RF00005    cm        1       71   353858   353774      -    no    1 0.59   0.0   52.1   3.6e-09 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_16, whole genome shotgun sequence
NW_026260819.1       -         tRNA                 RF00005    cm        1       71    30560    30632      +    no    1 0.53   0.0   52.1   3.8e-09 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_38, whole genome shotgun sequence
NW_026260783.1       -         tRNA                 RF00005    cm        1       71   374729   374815      +    no    1 0.59   0.0   52.0     4e-09 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_2, whole genome shotgun sequence
NW_026260789.1       -         tRNA                 RF00005    cm        1       71  1135265  1135193      -    no    1 0.56   0.0   51.9   4.1e-09 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_8, whole genome shotgun sequence
NW_026260797.1       -         tRNA                 RF00005    cm        1       71   872683   872772      +    no    1 0.51   0.0   51.9   4.2e-09 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_16, whole genome shotgun sequence
NW_026261022.1       -         tRNA                 RF00005    cm        1       71    12291    12363      +    no    1 0.53   0.0   51.9   4.2e-09 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_241, whole genome shotgun sequence
NW_026260788.1       -         tRNA                 RF00005    cm        1       71   352650   352729      +    no    1 0.54   0.0   51.8   4.4e-09 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_7, whole genome shotgun sequence
NW_026260797.1       -         tRNA                 RF00005    cm        1       71   450036   450139      +    no    1 0.59   0.0   51.7   4.8e-09 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_16, whole genome shotgun sequence
NW_026260797.1       -         tRNA                 RF00005    cm        1       71   280436   280541      +    no    1 0.55   0.0   51.7   4.8e-09 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_16, whole genome shotgun sequence
NW_026260783.1       -         tRNA                 RF00005    cm        1       71  2158850  2158941      +    no    1 0.53   0.0   51.7   4.9e-09 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_2, whole genome shotgun sequence
NW_026261111.1       -         tRNA                 RF00005    cm        1       71     3310     3401      +    no    1 0.53   0.0   51.7   4.9e-09 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_330, whole genome shotgun sequence
NW_026260785.1       -         tRNA                 RF00005    cm        1       71   822112   822021      -    no    1 0.55   0.0   51.7   4.9e-09 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_4, whole genome shotgun sequence
NW_026260785.1       -         tRNA                 RF00005    cm        1       71   109803   109876      +    no    1 0.57   0.0   51.6   5.2e-09 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_4, whole genome shotgun sequence
NW_026260884.1       -         tRNA                 RF00005    cm        1       71     8614     8686      +    no    1 0.56   0.0   51.4   5.8e-09 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_103, whole genome shotgun sequence
NW_026260809.1       -         tRNA                 RF00005    cm        1       71   507618   507690      +    no    1 0.55   0.0   51.3   6.1e-09 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_28, whole genome shotgun sequence
NW_026260922.1       -         tRNA                 RF00005    cm        1       71    14533    14461      -    no    1 0.55   0.0   51.3   6.1e-09 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_141, whole genome shotgun sequence
NW_026260784.1       -         tRNA                 RF00005    cm        1       71  2165540  2165468      -    no    1 0.53   0.0   51.2   6.5e-09 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_3, whole genome shotgun sequence
NW_026260819.1       -         tRNA                 RF00005    cm        1       71   118292   118220      -    no    1 0.53   0.0   51.2   6.5e-09 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_38, whole genome shotgun sequence
NW_026260858.1       -         tRNA                 RF00005    cm        1       71   101989   101917      -    no    1 0.53   0.0   51.2   6.5e-09 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_77, whole genome shotgun sequence
NW_026261048.1       -         tRNA                 RF00005    cm        1       71     8024     7952      -    no    1 0.53   0.0   51.2   6.5e-09 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_267, whole genome shotgun sequence
NW_026261048.1       -         tRNA                 RF00005    cm        1       71    17654    17726      +    no    1 0.53   0.0   51.2   6.5e-09 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_267, whole genome shotgun sequence
NW_026260785.1       -         tRNA                 RF00005    cm        1       71   251717   251810      +    no    1 0.55   0.0   50.7   9.2e-09 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_4, whole genome shotgun sequence
NW_026260793.1       -         tRNA                 RF00005    cm        1       71    23011    22939      -    no    1 0.56   0.0   50.6   9.9e-09 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_12, whole genome shotgun sequence
NW_026260793.1       -         tRNA                 RF00005    cm        1       71   132442   132370      -    no    1 0.58   0.0   50.5     1e-08 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_12, whole genome shotgun sequence
NW_026260788.1       -         tRNA                 RF00005    cm        1       71  1030004  1029914      -    no    1 0.56   0.0   50.3   1.2e-08 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_7, whole genome shotgun sequence
NW_026260933.1       -         tRNA                 RF00005    cm        1       71    39510    39420      -    no    1 0.56   0.0   50.3   1.2e-08 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_152, whole genome shotgun sequence
NW_026260788.1       -         tRNA                 RF00005    cm        1       71   794056   794148      +    no    1 0.56   0.0   49.9   1.5e-08 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_7, whole genome shotgun sequence
NW_026260785.1       -         tRNA                 RF00005    cm        1       71  1724852  1724782      -    no    1 0.58   0.0   49.9   1.5e-08 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_4, whole genome shotgun sequence
NW_026260786.1       -         tRNA                 RF00005    cm        1       71  1285708  1285778      +    no    1 0.58   0.0   49.9   1.5e-08 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_5, whole genome shotgun sequence
NW_026260819.1       -         tRNA                 RF00005    cm        1       71    53484    53556      +    no    1 0.55   0.0   49.8   1.7e-08 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_38, whole genome shotgun sequence
NW_026260858.1       -         tRNA                 RF00005    cm        1       71    60551    60479      -    no    1 0.55   0.0   49.8   1.7e-08 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_77, whole genome shotgun sequence
NW_026260783.1       -         tRNA                 RF00005    cm        1       71  1093638  1093724      +    no    1 0.55   0.0   49.4   2.1e-08 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_2, whole genome shotgun sequence
NW_026260783.1       -         tRNA                 RF00005    cm        1       71   948846   948760      -    no    1 0.55   0.0   49.4   2.1e-08 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_2, whole genome shotgun sequence
NW_026260788.1       -         tRNA                 RF00005    cm        1       71  1251691  1251777      +    no    1 0.56   0.0   49.4   2.1e-08 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_7, whole genome shotgun sequence
NW_026260783.1       -         tRNA                 RF00005    cm        1       71  1937696  1937615      -    no    1 0.50   0.0   49.1   2.6e-08 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_2, whole genome shotgun sequence
NW_026260782.1       -         tRNA                 RF00005    cm        1       71   399907   399825      -    no    1 0.53   0.0   48.9   2.9e-08 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_1, whole genome shotgun sequence
NW_026260790.1       -         tRNA                 RF00005    cm        1       71    68052    68124      +    no    1 0.62   0.0   48.7   3.4e-08 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_9, whole genome shotgun sequence
NW_026260783.1       -         tRNA                 RF00005    cm        1       71  1054018  1053926      -    no    1 0.56   0.0   48.6   3.6e-08 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_2, whole genome shotgun sequence
NW_026260783.1       -         tRNA                 RF00005    cm        1       71  1946856  1946942      +    no    1 0.57   0.0   48.5   3.7e-08 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_2, whole genome shotgun sequence
NW_026260819.1       -         tRNA                 RF00005    cm        1       71   188070   188142      +    no    1 0.53   0.0   48.4   3.9e-08 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_38, whole genome shotgun sequence
NW_026260789.1       -         tRNA                 RF00005    cm        1       71   347652   347733      +    no    1 0.57   0.0   48.2   4.6e-08 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_8, whole genome shotgun sequence
NW_026260884.1       -         tRNA                 RF00005    cm        1       71     3696     3623      -    no    1 0.58   0.0   48.2   4.6e-08 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_103, whole genome shotgun sequence
NW_026260921.1       -         tRNA                 RF00005    cm        1       71    29581    29654      +    no    1 0.53   0.0   48.0   5.3e-08 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_140, whole genome shotgun sequence
NW_026260805.1       -         tRNA                 RF00005    cm        1       71   213573   213489      -    no    1 0.58   0.0   47.9   5.4e-08 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_24, whole genome shotgun sequence
NW_026260785.1       -         tRNA                 RF00005    cm        1       71  1121846  1121930      +    no    1 0.58   0.0   47.9   5.4e-08 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_4, whole genome shotgun sequence
NW_026260792.1       -         tRNA                 RF00005    cm        1       71   231045   230952      -    no    1 0.55   0.0   47.9   5.5e-08 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_11, whole genome shotgun sequence
NW_026260799.1       -         tRNA                 RF00005    cm        1       71   435463   435535      +    no    1 0.53   0.0   47.7   6.2e-08 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_18, whole genome shotgun sequence
NW_026260787.1       -         tRNA                 RF00005    cm        1       71   240837   240928      +    no    1 0.59   0.0   47.6   6.9e-08 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_6, whole genome shotgun sequence
NW_026260785.1       -         tRNA                 RF00005    cm        1       71    70900    70830      -    no    1 0.58   0.0   47.3   8.3e-08 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_4, whole genome shotgun sequence
NW_026260910.1       -         tRNA                 RF00005    cm        1       71     1247     1319      +    no    1 0.53   0.0   47.1   9.5e-08 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_129, whole genome shotgun sequence
NW_026260921.1       -         tRNA                 RF00005    cm        1       71     1247     1319      +    no    1 0.53   0.0   47.1   9.5e-08 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_140, whole genome shotgun sequence
NW_026261022.1       -         tRNA                 RF00005    cm        1       71     6224     6152      -    no    1 0.53   0.0   47.1   9.5e-08 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_241, whole genome shotgun sequence
NW_026261022.1       -         tRNA                 RF00005    cm        1       71    22995    23067      +    no    1 0.53   0.0   47.1   9.5e-08 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_241, whole genome shotgun sequence
NW_026260783.1       -         tRNA                 RF00005    cm        1       71   332492   332406      -    no    1 0.53   0.0   46.8   1.1e-07 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_2, whole genome shotgun sequence
NW_026260794.1       -         tRNA                 RF00005    cm        1       71   702190   702081      -    no    1 0.55   0.0   46.7   1.2e-07 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_13, whole genome shotgun sequence
NW_026260843.1       -         tRNA                 RF00005    cm        1       71   150858   150967      +    no    1 0.55   0.0   46.7   1.2e-07 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_62, whole genome shotgun sequence
NW_026261047.1       -         tRNA                 RF00005    cm        1       71     5862     5971      +    no    1 0.55   0.0   46.7   1.2e-07 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_266, whole genome shotgun sequence
NW_026260785.1       -         tRNA                 RF00005    cm        1       71  1642753  1642837      +    no    1 0.54   0.0   46.6   1.3e-07 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_4, whole genome shotgun sequence
NW_026260791.1       -         tRNA                 RF00005    cm        1       71   607952   607868      -    no    1 0.55   0.0   46.6   1.3e-07 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_10, whole genome shotgun sequence
NW_026261114.1       -         tRNA                 RF00005    cm        1       71    14716    14632      -    no    1 0.55   0.0   46.6   1.3e-07 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_333, whole genome shotgun sequence
NW_026260827.1       -         tRNA                 RF00005    cm        1       71   112613   112535      -    no    1 0.57   0.0   46.5   1.3e-07 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_46, whole genome shotgun sequence
NW_026260832.1       -         tRNA                 RF00005    cm        1       71   148159   148286      +    no    1 0.61   0.0   46.1   1.7e-07 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_51, whole genome shotgun sequence
NW_026260918.1       -         tRNA                 RF00005    cm        1       71    41961    42088      +    no    1 0.61   0.0   46.1   1.7e-07 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_137, whole genome shotgun sequence
NW_026260785.1       -         tRNA                 RF00005    cm        1       71  1643583  1643500      -    no    1 0.60   0.0   46.1   1.8e-07 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_4, whole genome shotgun sequence
NW_026260785.1       -         tRNA                 RF00005    cm        1       71  1643694  1643777      +    no    1 0.58   0.0   46.1   1.8e-07 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_4, whole genome shotgun sequence
NW_026260809.1       -         tRNA                 RF00005    cm        1       71   105962   106046      +    no    1 0.54   0.0   46.0   1.9e-07 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_28, whole genome shotgun sequence
NW_026260783.1       -         tRNA                 RF00005    cm        1       71  1416347  1416419      +    no    1 0.56   0.0   44.6   4.6e-07 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_2, whole genome shotgun sequence
NW_026261157.1       -         tRNA                 RF00005    cm        1       71    11693    11765      +    no    1 0.56   0.0   44.6   4.6e-07 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_376, whole genome shotgun sequence
NW_026260809.1       -         tRNA                 RF00005    cm        1       71   271184   271264      +    no    1 0.56   0.0   43.6   8.8e-07 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_28, whole genome shotgun sequence
NW_026261222.1       -         tRNA                 RF00005    cm        1       71     2574     2654      +    no    1 0.56   0.0   43.6   8.8e-07 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_441, whole genome shotgun sequence
NW_026260795.1       -         tRNA                 RF00005    cm        1       71   780297   780217      -    no    1 0.54   0.0   43.6   8.8e-07 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_14, whole genome shotgun sequence
NW_026260809.1       -         tRNA                 RF00005    cm        1       71   297790   297870      +    no    1 0.56   0.0   43.6   8.8e-07 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_28, whole genome shotgun sequence
NW_026260823.1       -         tRNA                 RF00005    cm        1       71   155940   155843      -    no    1 0.61   0.0   42.7   1.6e-06 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_42, whole genome shotgun sequence
NW_026261100.1       -         tRNA                 RF00005    cm        1       71     2277     2180      -    no    1 0.61   0.0   42.7   1.6e-06 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_319, whole genome shotgun sequence
NW_026260785.1       -         tRNA                 RF00005    cm        1       71    73374    73303      -    no    1 0.53   0.0   42.7   1.6e-06 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_4, whole genome shotgun sequence
NW_026260819.1       -         tRNA                 RF00005    cm        1       71    51834    51762      -    no    1 0.53   0.0   42.3   2.1e-06 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_38, whole genome shotgun sequence
NW_026260783.1       -         tRNA                 RF00005    cm        1       71   763316   763404      +    no    1 0.58   0.0   42.1   2.3e-06 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_2, whole genome shotgun sequence
NW_026260823.1       -         tRNA                 RF00005    cm        1       71   321002   321102      +    no    1 0.53   0.0   41.9   2.6e-06 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_42, whole genome shotgun sequence
NW_026260804.1       -         tRNA                 RF00005    cm        1       71   278235   278318      +    no    1 0.55   0.0   41.8   2.8e-06 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_23, whole genome shotgun sequence
NW_026260788.1       -         tRNA                 RF00005    cm        1       71   680529   680612      +    no    1 0.57   0.0   41.8   2.8e-06 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_7, whole genome shotgun sequence
NW_026260840.1       -         tRNA                 RF00005    cm        1       71   134586   134669      +    no    1 0.57   0.0   41.8   2.8e-06 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_59, whole genome shotgun sequence
NW_026260796.1       -         tRNA                 RF00005    cm        1       71   222064   222136      +    no    1 0.47   0.0   41.4   3.6e-06 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_15, whole genome shotgun sequence
NW_026260790.1       -         tRNA                 RF00005    cm        6       65   111909   111842      -    no    1 0.50   0.0   29.3    0.0088 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_9, whole genome shotgun sequence
NW_026261037.1       -         5S_rRNA              RF00001    cm        1      119     2301     2419      +    no    1 0.56   0.0  113.5     3e-24 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_256, whole genome shotgun sequence
NW_026261037.1       -         5S_rRNA              RF00001    cm        1      119    12112    12230      +    no    1 0.56   0.0  113.5     3e-24 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_256, whole genome shotgun sequence
NW_026261037.1       -         5S_rRNA              RF00001    cm        1      119    21924    22042      +    no    1 0.56   0.0  113.5     3e-24 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_256, whole genome shotgun sequence
NW_026261064.1       -         5S_rRNA              RF00001    cm        1      119    13097    12979      -    no    1 0.56   0.0  113.5     3e-24 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_283, whole genome shotgun sequence
NW_026261064.1       -         5S_rRNA              RF00001    cm        1      119    22761    22643      -    no    1 0.56   0.0  113.5     3e-24 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_283, whole genome shotgun sequence
NW_026261072.1       -         5S_rRNA              RF00001    cm        1      119     5318     5436      +    no    1 0.56   0.0  113.5     3e-24 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_291, whole genome shotgun sequence
NW_026261072.1       -         5S_rRNA              RF00001    cm        1      119    15139    15257      +    no    1 0.56   0.0  113.5     3e-24 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_291, whole genome shotgun sequence
NW_026261098.1       -         5S_rRNA              RF00001    cm        1      119     4165     4283      +    no    1 0.56   0.0  113.5     3e-24 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_317, whole genome shotgun sequence
NW_026261098.1       -         5S_rRNA              RF00001    cm        1      119    13833    13951      +    no    1 0.56   0.0  113.5     3e-24 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_317, whole genome shotgun sequence
NW_026261103.1       -         5S_rRNA              RF00001    cm        1      119    13084    13202      +    no    1 0.56   0.0  113.5     3e-24 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_322, whole genome shotgun sequence
NW_026261104.1       -         5S_rRNA              RF00001    cm        1      119     1745     1627      -    no    1 0.56   0.0  113.5     3e-24 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_323, whole genome shotgun sequence
NW_026261104.1       -         5S_rRNA              RF00001    cm        1      119    11549    11431      -    no    1 0.56   0.0  113.5     3e-24 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_323, whole genome shotgun sequence
NW_026261113.1       -         5S_rRNA              RF00001    cm        1      119     8316     8198      -    no    1 0.56   0.0  113.5     3e-24 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_332, whole genome shotgun sequence
NW_026261121.1       -         5S_rRNA              RF00001    cm        1      119    10176    10058      -    no    1 0.56   0.0  113.5     3e-24 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_340, whole genome shotgun sequence
NW_026261121.1       -         5S_rRNA              RF00001    cm        1      119    19986    19868      -    no    1 0.56   0.0  113.5     3e-24 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_340, whole genome shotgun sequence
NW_026261126.1       -         5S_rRNA              RF00001    cm        1      119      876      758      -    no    1 0.56   0.0  113.5     3e-24 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_345, whole genome shotgun sequence
NW_026261126.1       -         5S_rRNA              RF00001    cm        1      119    10640    10522      -    no    1 0.56   0.0  113.5     3e-24 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_345, whole genome shotgun sequence
NW_026261139.1       -         5S_rRNA              RF00001    cm        1      119     9499     9381      -    no    1 0.56   0.0  113.5     3e-24 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_358, whole genome shotgun sequence
NW_026261139.1       -         5S_rRNA              RF00001    cm        1      119    19311    19193      -    no    1 0.56   0.0  113.5     3e-24 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_358, whole genome shotgun sequence
NW_026261142.1       -         5S_rRNA              RF00001    cm        1      119      205       87      -    no    1 0.56   0.0  113.5     3e-24 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_361, whole genome shotgun sequence
